MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth (ft.),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,4/28/2022,11:15,E0422B0898,D41A,3,62,4,6.45%,0.0697,314.159,1.2546,18,62.6,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,11.1,,,i,BSA.04-22,BB,,cylinder,716.09,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/28/2022,11:15,E0422B0898,D41A,3,62,4,6.45%,0.0697,314.159,1.2546,18,62.6,296,Ditylum brightwellii,Diatom,Ditylum,brightwellii,,1,1,90.7,,,i,BSA.04-22,BB,,prism on triangle,113375,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/28/2022,11:15,E0422B0898,D41A,3,62,4,6.45%,0.0697,314.159,1.2546,18,62.6,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,4,4,4.3,,,i,BSA.04-22,BB,,sphere,20.58,,,,,,,,,
Phyto,4/28/2022,11:15,E0422B0898,D41A,3,62,4,6.45%,0.0697,314.159,1.2546,18,62.6,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,6,6,11.1,,,i,BSA.04-22,BB,,cone + half sphere,364.32,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/28/2022,11:15,E0422B0898,D41A,3,62,4,6.45%,0.0697,314.159,1.2546,18,62.6,1733,Teleaulax amphioxeia,Soft Body,Teleaulax,amphioxeia,Plagioselmis prolonga,4,4,7.4,,,i,BSA.04-22,BB,,cone + half sphere,147.93,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/28/2022,11:15,E0422B0898,D41A,3,62,4,6.45%,0.0697,314.159,1.2546,18,62.6,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,409,818,0.8,0.8,0.8,c,BSA.04-22,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/28/2022,11:15,E0422B0898,D41A,3,62,4,6.45%,0.0697,314.159,1.2546,18,62.6,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,1,13,2.8,,,f,BSA.04-22,BB,,cylinder,1.78,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/25/2022,11:10,E0422B0774,EZ6,3,62,1,1.61%,0.0697,314.159,0.3485,5,901.46,1892,Cylindrotheca closterium,Diatom,Cylindrotheca,closterium,,1,1,20.4,,,i,BSA.04-23,BB,,prolate spheroid + 2 cylinders,71.52,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/25/2022,11:10,E0422B0774,EZ6,3,62,1,1.61%,0.0697,314.159,0.3485,5,901.46,586,Navicula cf. gregaria,Diatom,Navicula,gregaria,,1,1,35.2,,,i,BSA.04-23,BB,,elliptic prism,1284.99,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/25/2022,11:10,E0422B0774,EZ6,3,62,1,1.61%,0.0697,314.159,0.3485,5,901.46,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,2,2,9.8,,,i,BSA.04-23,BB,,cone + half sphere,399.78,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/25/2022,11:10,E0422B0774,EZ6,3,62,1,1.61%,0.0697,314.159,0.3485,5,901.46,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,481,962,0.8,0.8,0.8,c,BSA.04-23,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/28/2022,13:25,E0422B0900,NZ325,3,61,2,3.28%,0.0697,314.159,1.6031,23,97.98,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,13,,,i,BSA.04-24,BB,,cylinder,862.76,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/28/2022,13:25,E0422B0900,NZ325,3,61,2,3.28%,0.0697,314.159,1.6031,23,97.98,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,20.4,,,i,BSA.04-24,BB,,elliptic prism,583.2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/28/2022,13:25,E0422B0900,NZ325,3,61,2,3.28%,0.0697,314.159,1.6031,23,97.98,895,Skeletonema sp.,Diatom,Skeletonema,sp.,,10,10,8.3,,,i,BSA.04-24,BB,,cylinder + 2 half spheres,169.55,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/28/2022,13:25,E0422B0900,NZ325,3,61,2,3.28%,0.0697,314.159,1.6031,23,97.98,988,Thalassiosira spp.,Diatom,Thalassiosira,spp.,,4,4,27.8,,,i,BSA.04-24,BB,,cylinder,1774.22,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/28/2022,13:25,E0422B0900,NZ325,3,61,2,3.28%,0.0697,314.159,1.6031,23,97.98,1932,cf. Chlorogonium sp.,Soft Body,Chlorogonium,sp.,,1,1,16.7,,,i,BSA.04-24,BB,,2 cones,274.21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/28/2022,13:25,E0422B0900,NZ325,3,61,2,3.28%,0.0697,314.159,1.6031,23,97.98,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,403,826,0.8,0.8,0.8,c,BSA.04-24,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/28/2022,13:25,E0422B0900,NZ325,3,61,2,3.28%,0.0697,314.159,1.6031,23,97.98,1545,Euglena sp.,Soft Body,Euglena,sp.,,1,1,25.9,,,i,BSA.04-24,BB,,half ellipsoid + cone on an elliptic base,528.89,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,8:35,E0422B0697,EZ2-SJR,3,57,4,7.02%,0.0683,314.159,1.1611,17,67.64,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,7.4,,,i,BSA.04-25,CB,,cylinder,109.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,8:35,E0422B0697,EZ2-SJR,3,57,4,7.02%,0.0683,314.159,1.1611,17,67.64,319,Entomoneis sp.,Diatom,Entomoneis,sp.,,1,1,37,,,i,BSA.04-25,CB,,elliptic prism,6046.74,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,8:35,E0422B0697,EZ2-SJR,3,57,4,7.02%,0.0683,314.159,1.1611,17,67.64,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,22.2,,,i,BSA.04-25,CB,,prism on parallelogram,174.05,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,8:35,E0422B0697,EZ2-SJR,3,57,4,7.02%,0.0683,314.159,1.1611,17,67.64,1138,Monoraphidium sp.,Soft Body,Monoraphidium,sp.,,1,1,7.4,,,i,BSA.04-25,CB,,2 cones,15.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,8:35,E0422B0697,EZ2-SJR,3,57,4,7.02%,0.0683,314.159,1.1611,17,67.64,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,1,1,18.5,,,i,BSA.04-25,CB,,prolate spheroid,530.44,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,8:35,E0422B0697,EZ2-SJR,3,57,4,7.02%,0.0683,314.159,1.1611,17,67.64,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,2,2,9.3,,,i,BSA.04-25,CB,,cone + half sphere,223.52,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,8:35,E0422B0697,EZ2-SJR,3,57,4,7.02%,0.0683,314.159,1.1611,17,67.64,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,398,796,0.8,0.8,0.8,c,BSA.04-25,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/21/2022,8:35,E0422B0697,EZ2-SJR,3,57,4,7.02%,0.0683,314.159,1.1611,17,67.64,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,1,12,2,,,f,BSA.04-25,CB,,cylinder,1.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/25/2022,12:00,E0422B0775,EZ2,3,61,2,3.28%,0.0697,314.159,0.4879,7,321.95,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,11.1,,,i,BSA.04-26,BB,,elliptic prism,90.32,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/25/2022,12:00,E0422B0775,EZ2,3,61,2,3.28%,0.0697,314.159,0.4879,7,321.95,1732,Entomoneis paludosa,Diatom,Entomoneis,paludosa,,3,3,48.2,,,i,BSA.04-26,BB,,elliptic prism,5541.91,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/25/2022,12:00,E0422B0775,EZ2,3,61,2,3.28%,0.0697,314.159,0.4879,7,321.95,1138,Monoraphidium sp.,Soft Body,Monoraphidium,sp.,,1,1,9.3,,,i,BSA.04-26,BB,,2 cones,8.23,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/25/2022,12:00,E0422B0775,EZ2,3,61,2,3.28%,0.0697,314.159,0.4879,7,321.95,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,429,900,0.8,0.8,0.8,c,BSA.04-26,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/28/2022,13:40,E0422B0901,NZ002,3,63,3,4.76%,0.0697,314.159,1.8819,27,55.65,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,9.3,,,i,BSA.04-27,BB,,cylinder,292.09,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/28/2022,13:40,E0422B0901,NZ002,3,63,3,4.76%,0.0697,314.159,1.8819,27,55.65,1892,Cylindrotheca closterium,Diatom,Cylindrotheca,closterium,,1,1,0,,,i,BSA.04-27,BB,,prolate spheroid + 2 cylinders,186.81,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/28/2022,13:40,E0422B0901,NZ002,3,63,3,4.76%,0.0697,314.159,1.8819,27,55.65,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,1,1,16.7,,,i,BSA.04-27,BB,,prolate spheroid,602.38,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/28/2022,13:40,E0422B0901,NZ002,3,63,3,4.76%,0.0697,314.159,1.8819,27,55.65,1368,Rhodomonas sp.,Soft Body,Rhodomonas,sp.,,1,1,13,,,i,BSA.04-27,BB,,cone + half sphere,862.76,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/28/2022,13:40,E0422B0901,NZ002,3,63,3,4.76%,0.0697,314.159,1.8819,27,55.65,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,410,844,0.8,0.8,0.8,c,BSA.04-27,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/21/2022,7:40,E0422B0696,EZ6-SJR,3,60,3,5.00%,0.0697,314.159,0.6273,9,166.94,1732,Entomoneis paludosa,Diatom,Entomoneis,paludosa,,1,1,25.9,,,i,BSA.04-28,BB,,elliptic prism,3499.81,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,7:40,E0422B0696,EZ6-SJR,3,60,3,5.00%,0.0697,314.159,0.6273,9,166.94,713,Nitzschia inconspicua,Diatom,Nitzschia,inconspicua,,1,1,9.3,,,i,BSA.04-28,BB,,prism on parallelogram,63.66,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,7:40,E0422B0696,EZ6-SJR,3,60,3,5.00%,0.0697,314.159,0.6273,9,166.94,1138,Monoraphidium sp.,Soft Body,Monoraphidium,sp.,,1,1,9.3,,,i,BSA.04-28,BB,,2 cones,8.23,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,7:40,E0422B0696,EZ6-SJR,3,60,3,5.00%,0.0697,314.159,0.6273,9,166.94,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,412,824,0.8,0.8,0.8,c,BSA.04-28,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
