Station,Date,Time,SampleDescription,FieldNotes,Weather,AirTemp,WindVelocity,WindDirection,NorthLat,WestLong,Chla,Pheophytin,TotAlkalinity,TotAmmonia,DissAmmonia,DissBromide,DissCalcium,TotChloride,DissChloride,DissNitrateNitrite,DOC,TOC,DON,TON,DissOrthophos,TotPhos,DissSilica,TDS,TSS,VSS,TKN,Depth,Secchi,Microcystis,LightExtinction,SpCndSurface,DOSurface,DOpercentSurface,WTSurface,TurbiditySurface,pHSurface,SpCndBottom,DOBottom,DOpercentBottom,WTBottom,TurbidityBottom,pHBottom
D8,4/17/1985,15:00,,,,69.8,11,225,,,2.16,2.93,,,0.08,,,,,0.43,,,0.2,,,,13,,,,0.4,,52,,1.4,10200,8.6,,18,19,8,,,,,,
D8,5/2/1985,14:40,,,,69.8,19,270,,,4.17,3.13,,,0.07,,,,4390,0.25,,,0.2,,0.08,0.12,12,,,,0.4,,52,,1.25,14100,8.9,,18,17,8,,,,,,
D8,5/15/1985,13:30,,,,75.2,11,,,,5.25,2.74,,,0.06,,,,,0.32,,,0.2,,,,11,,,,0.4,,36,,1.35,9160,9,,19,15,8.1,,,,,,
D8,6/13/1985,13:50,,,,84.2,11,225,,,6.48,2.2,,,0.05,,,,3180,0.28,,,0.3,,0.08,0.12,8.8,,,,0.4,,58,,1.85,10000,8.3,,22,8,8,,,,,,
D8,6/27/1985,9:05,,,,,3,225,,,5.56,3.36,,,0.05,,,,,0.27,,,0.2,,,,9.7,,,,0.4,,60,,1.3,9760,8.2,,21,15,8,,,,,,
D8,7/12/1985,12:25,,,,80.6,11,293,,,49.4,27.13,,,0.04,,,,3290,0.29,,,0.2,,0.09,0.12,11,,,,0.4,,60,,1.4,11000,8.1,,23,11,7.8,,,,,,
D8,7/25/1985,9:30,,,,66.2,23,225,,,9.26,4.75,,,0.04,,,,,0.25,,,0.3,,,,9.5,,,,0.4,,38,,1.05,15500,8.2,,21,21,7.8,,,,,,
D8,8/8/1985,9:50,,,,71.6,11,270,,,8.18,2.7,,,0.01,,,,2910,0.26,,,0.2,,0.09,0.13,12,,,,0.3,,72,,2,10000,8.4,,21,6,,,,,,,
D8,8/22/1985,8:40,,,,60.8,8,248,,,7.41,3.36,,,0.04,,,,,0.2,,,0.1,,,,10,,,,0.3,,56,,1.55,,8,,19,12,8.1,,,,,,
D8,9/6/1985,9:45,,,,62.6,4,203,,,8.8,1.62,,,0.03,,,,4960,0.19,,,0.1,,0.09,0.1,9.2,,,,0.3,,76,,1.85,15700,8.4,,19,5,8.1,,,,,,
D8,10/9/1985,13:10,,,,64.4,25,,,,3.4,2.86,,,0.04,,,,5170,0.19,,,0.2,,0.1,0.12,11,,,,0.3,,72,,,15200,8.9,,18,7,8,,,,,,
D8,10/23/1985,13:00,,,,73.4,6,293,,,2.47,2.39,,,0.06,,,,,0.21,,,0.3,,,,10,,,,0.4,,64,,2.25,15900,8.8,,17,6,8,,,,,,
D8,11/21/1985,11:50,,,,53.6,4,,,,2.93,1,,,0.1,,,,5620,0.25,,,0.2,,0.1,0.13,10,,,,0.4,,73,,2,16400,9.4,,12,7,,,,,,,
D8,12/5/1985,11:10,,,,64.4,7,225,,,3.23,,,,0.16,,,,3900,0.35,,,0.2,,0.11,0.14,12,,,,0.4,,68,,1.65,12700,9.8,,12,8,8.3,,,,,,
D8,1/8/1986,14:30,,,,51.8,4,135,,,0.31,2.7,,,0.22,,,,6100,0.43,,,0.3,,0.1,0.15,11,,,,0.7,,74,,1.5,18300,10.2,,9,11,7.8,,,,,,
D8,2/5/1986,12:40,,,,62.6,11,270,,,0.62,1.7,,,0.09,,,,69,0.39,,,0.2,,0.07,0.14,16,,,,0.5,,48,,0.95,411,9.8,,12,33,7.6,,,,,,
D8,3/20/1986,11:05,,,,55.4,,,,,0.46,2.2,,,0.05,,,,7,0.2,,,0.2,,0.04,0.13,14,,,,0.5,,18,,0.6,160,9.9,,12,58,7.5,,,,,,
D8,4/3/1986,11:15,,,,64.4,2,225,,,1.7,4.55,,,0.05,,,,15,0.26,,,0.1,,0.04,0.08,13,,,,0.2,,38,,,203,9.1,,16,24,7.5,,,,,,
D8,5/22/1986,15:10,,,,73.4,11,225,,,12.97,7.99,,,0.03,,,,871,0.39,,,0.3,,0.06,0.11,12,,,,0.5,,32,,0.95,3210,9,,19,28,7.8,,,,,,
D8,6/4/1986,15:00,,,,66.2,25,225,,,20.07,13.97,,,0.02,,,,550,0.28,,,0.3,,0.06,0.18,12,,,,0.8,,28,,0.7,2160,8.9,,20,39,7.9,,,,,,
D8,7/17/1986,12:20,,,,71.6,11,225,,,12.5,2.2,,,0.03,,,,1800,0.12,,,0.3,,0.06,0.12,9.5,,,,0.5,,36,,1.05,6110,8.8,,22,21,8,,,,,,
D8,7/31/1986,10:15,,,,77,6,293,,,11.12,6.48,,,0.02,,,,,0.29,,,0.3,,,,9.4,,,,0.5,,40,,1,5100,8.9,,21,21,7.8,,,,,,
D8,8/14/1986,12:05,,,,69.8,19,225,,,13.12,9.69,,,0.01,,,,2440,0.2,,,0.2,,0.08,0.18,6.9,,,,0.6,,20,,0.65,8580,8.7,,20,36,8.1,,,,,,
D8,8/28/1986,11:55,,,,75.2,12,225,,,27.32,17.71,,,,,,,,0.15,,,0.2,,,,,,,,0.6,,31,,0.6,7920,9.2,,20,46,8.1,,,,,,
D8,9/11/1986,10:45,,,,75.2,2,315,,,17.6,9.61,,,0.02,,,,2920,0.13,,,0.2,,0.07,0.16,6.6,,,,0.5,,40,,0.95,9660,8.7,,20,32,8.1,,,,,,
D8,9/25/1986,10:00,,,,62.6,9,225,,,4.94,3.63,,,0.03,,,,,0.22,,,0.3,,,,12,,,,0.5,,40,,1,3880,8.6,,19,25,7.9,,,,,,
D8,10/24/1986,10:10,,,,60.8,4,113,,,2.62,2.59,,,0.04,,,,1420,0.32,,,0.2,,0.09,0.14,13,,,,0.4,,36,,1.1,5020,8.8,,17,19,7.7,,,,,,
D8,11/25/1986,11:15,,,,57.2,,,,,1.7,3.4,,,0.06,,,,3370,0.14,,,0.2,,0.07,0.12,13,,,,0.3,,56,,1.3,10800,9.3,,14,20,7.8,,,,,,
D8,12/11/1986,12:30,,,,37.4,9,,,,3.86,3.2,,,0.1,,,,4020,0.39,,,0.2,,0.07,0.14,13,,,,0.4,,44,,0.8,12800,9.5,,11,13,7.9,,,,,,
D8,1/8/1987,11:05,,,,35.6,4,,,,1.24,2.01,,,0.15,,,,2880,0.14,,,0.2,,0.1,0.14,15,,,,0.5,,44,,,9330,10.4,,9,17,7.9,,,,,,
D8,2/11/1987,15:00,,,,59,9,,,,6.33,2.24,,,0.13,,,,4500,0.38,,,0.2,,0.1,0.14,14,,,,0.5,,66,,,14600,10.1,,13,10,7.9,,,,,,
D8,3/11/1987,14:15,,,,64.4,11,180,,,3.24,2.2,,,0.12,,,,1140,0.46,,,0.3,,0.09,0.14,16,,,,0.5,,60,,,4110,9.5,,14,16,7.8,,,,,,
D8,4/9/1987,13:45,,,,75.2,6,315,,,3.09,2.93,,,0.06,,,,1690,0.51,,,0.2,,0.05,0.14,15,,,,0.4,,34,,,6070,9.3,,17,23,7.9,,,,,,
D8,4/23/1987,11:00,,,,71.6,17,225,,,4.32,5.87,,,0.07,,,,,0.44,,,0.3,,,,13,,,,0.6,,28,,,12400,8.7,,18,31,7.9,,,,,,
D8,5/7/1987,12:00,,,,84.2,,,,,2.93,2.39,,,0.02,,,,4240,0.29,,,0.3,,0.03,0.13,12,,,,0.4,,96,,,13400,8.8,,21,6,8,,,,,,
D8,5/21/1987,10:55,,,,60.8,17,225,,,,,,,,,,,,0.2,,,0.2,,,,,,,,0.5,,90,,,15800,9.5,,20,4,8.3,,,,,,
D8,6/5/1987,10:35,,,,69.8,11,225,,,5.4,3.05,,,0.03,,,,4420,0.24,,,0.3,,0.06,0.13,8.8,,,,0.4,,62,,,14100,8.6,,20,10,8,,,,,,
D8,6/19/1987,9:10,,,,60.8,17,225,,,2.78,4.28,,,0.05,,,,,0.35,,,0.2,,,,10,,,,0.4,,44,,,12500,8.1,,20,15,7.9,,,,,,
D8,7/8/1987,14:20,,,,87.8,7,270,,,4.94,1.66,,,0.03,,,,4450,0.27,,,0.3,,0.06,0.16,10,,,,0.5,,46,,,14100,8.4,,22,13,8.1,,,,,,
D8,7/22/1987,14:35,,,,,,,,,2.93,1.7,,,0.06,,,,,0.41,,,0.3,,,,10,,,,0.4,,48,,,13100,8.6,,21,14,8,,,,,,
D8,8/6/1987,14:30,,,,78.8,21,225,,,0.93,3.94,,,0.04,,,,5270,0.41,,,0.3,,0.13,0.18,10,,,,0.4,,44,,,16700,8.1,,23,13,7.9,,,,,,
D8,8/19/1987,14:25,,,,78.8,9,270,,,2.47,0.42,,,0.05,,,,,0.33,,,0.2,,,,11,,,,0.4,,40,,,14900,8.5,,21,14,7.9,,,,,,
D8,9/3/1987,13:20,,,,82.4,11,270,,,2.01,1.35,,,0.09,,,,5380,0.4,,,0.5,,0.1,0.18,11,,,,0.7,,36,,,17500,8.1,,22,18,7.9,,,,,,
D8,9/17/1987,13:25,,,,82.4,4,293,,,1.24,0.39,,,0.09,,,,,0.41,,,0.4,,,,11,,,,0.6,,78,,,18200,8,,21,8,7.9,,,,,,
D8,10/16/1987,11:20,,,,69.8,5,270,,,1.08,1.93,,,0.07,,,,5980,0.31,,,0.4,,0.07,0.17,12,,,,0.6,,64,,,17800,8.5,,18,10,8,,,,,,
D8,10/29/1987,10:25,,,,60.8,9,248,,,,,,,0.1,,,,,0.41,,,0.5,,,,11,,,,0.7,,62,,,18700,7.9,,18,9,7.8,,,,,,
D8,11/4/1987,15:25,,,,69.8,7,270,,,,2.35,,,0.17,,,,7470,0.44,,,0.5,,0.06,0.18,10,,,,0.8,,64,,,22800,8.1,,17,14,7.7,,,,,,
D8,12/3/1987,14:50,,,,64.4,7,225,,,0.93,0.81,,,0.09,,,,7380,0.42,,,0.2,,0.05,0.17,10,,,,0.4,,44,,,22100,9,,14,15,7.9,,,,,,
D8,1/14/1988,11:40,,,,41,,,,,0.93,0.81,,,0.13,,,,1600,0.21,,,0.3,,0.07,0.15,14,,,,0.5,,32,,,6080,10.5,,8,28,7.7,,,,,,
D8,2/29/1988,13:40,,,,57.2,8,90,,,1.39,1.16,,,0.11,,,,5670,0.3,,,0.3,,0.11,0.15,13,,,,0.4,,52,,,17600,9.3,,14,17,7.9,,,,,,
D8,3/16/1988,13:25,,,,66.2,10,270,,,2.16,1.2,,,0.08,,,,6490,0.58,,,0.2,,0.08,0.14,12,,,,0.4,,36,,,19700,8.7,,15,26,,,,,,,
D8,3/30/1988,13:40,,,,68,27,315,,,2.01,2.39,,,0.1,,,,,0.48,,,0.2,,,,13,,,,0.5,,32,,,17300,8.9,,16,27,7.9,,,,,,
D8,4/13/1988,13:20,,,,68,4,315,,,2.01,2.86,,,0.08,,,,4860,0.39,,,0.2,,0.12,0.17,13,,,,0.4,,40,,,14900,8.7,,19,23,7.9,,,,,,
D8,4/27/1988,13:30,,,,66.2,11,225,,,2.24,0.08,,,0.08,,,,,0.21,,,0.3,,,,14,,,,0.4,,42,,,11300,8.9,,18,25,7.9,,,,,,
D8,5/11/1988,12:30,,,,84.2,,,,,1.54,0.08,,,0.06,,,,3090,0.27,,,0.2,,0.07,0.15,14,,,,0.4,,38,,,9860,8.6,,,16,7.9,,,,,,
D8,5/26/1988,13:30,,,,69.8,31,225,,,1.7,2.35,,,0.07,,,,,0.19,,,0.2,,,,13,,,,0.4,,30,,,15600,8.3,,19,22,7.9,,,,,,
D8,6/9/1988,12:30,,,,71.6,19,225,,,2.47,2.74,,,0.07,,,,,0.44,,,0.2,,0.13,0.21,14,,,,0.5,,36,,,14600,8.3,,19,36,8,,,,,,
D8,6/23/1988,11:25,,,,78.8,14,225,,,2.16,0.62,,,0.06,,,,4690,0.45,,,0.3,,0.14,0.18,12,,,,0.4,,36,,,,8.1,,21,16,8,,,,,,
D8,7/8/1988,12:35,,,,78.8,23,225,,,2.32,3.02,,,0.06,,,,6040,0.44,,,0.3,,0.14,0.23,13,,,,0.4,,38,,,17700,7.9,,22,38,8,,,,,,
D8,7/21/1988,9:50,,,,69.8,17,248,,,1.08,4.25,,,0.04,,,,,0.36,,,0.2,,,,13,,,,0.4,,38,,,15400,7.9,,22,19,8.2,,,,,,
D8,8/5/1988,9:40,,,,68,10,225,,,2.01,2.86,,,0.04,,,,4680,0.38,,,0.3,,0.12,0.21,14,,,,0.3,,32,,,14500,8.2,,21,30,8.1,,,,,,
D8,8/19/1988,9:15,,,,71.6,14,225,,,,,,,0.04,,,,,0.28,,,0.2,,,,14,,,,0.4,,36,,,15200,8.2,,21,20,8.1,,,,,,
D8,9/7/1988,15:00,,,,80.6,9,270,,,2.62,0.15,,,0.03,,,,5680,0.44,,,0.1,,0.12,0.2,14,,,,0.3,,42,,,17500,8.1,,21,22,8.1,,,,,,
D8,9/21/1988,13:40,,,,75.2,25,225,,,1.53,0.98,,,0.01,,,,,0.43,,,0.2,,,,14,,,,0.3,,40,,,18900,8.4,,19,19,8.1,,,,,,
D8,10/5/1988,13:45,,,,75.2,17,225,,,2.16,2.01,,,,,,,6300,0.36,,,0.2,,0.08,0.21,13,,,,0.3,,30,,,19000,8.5,,19,23,8.2,,,,,,
D8,10/20/1988,12:35,,,,75.2,2,270,,,0.62,1.7,,,,,,,,0.5,,,0.2,,,,12,,,,0.2,,46,,,20900,8.1,,19,15,8,,,,,,
D8,11/3/1988,12:25,,,,64.4,11,180,,,0.93,2.66,,,0.01,,,,6570,0.5,,,0.2,,0.12,0.2,13,,,,0.2,,42,,,19300,8.8,,16,24,8.1,,,,,,
D8,12/7/1988,15:00,,,,64.4,25,338,,,0.46,3.36,,,0.1,,,,8920,0.43,,,0.4,,0.1,0.29,10,,,,0.6,,26,,,25400,8.9,,12,36,8,,,,,,
D8,1/19/1989,15:15,,,,53.6,7,45,,,,3.32,,,0.18,,,,5690,0.53,,,0.2,,0.13,0.18,14,,,,0.6,,32,,,16900,10.4,,10,24,7.9,,,,,,
D8,2/3/1989,13:35,,,,41,14,135,,,0.77,2.01,,,0.12,,,,7440,0.52,,,0.3,,0.06,0.17,12,,,,0.4,,40,,,22000,9.7,,9,18,7.9,,,,,,
D8,3/30/1989,8:40,,,,59,11,248,,,1.39,1.27,,,0.06,,,,28,0.23,,,0.2,,0.05,0.08,15,,,,0.4,,36,,,224,9.4,,14,19,7.5,,,,,,
D8,4/14/1989,10:05,,,,60.8,16,270,,,0.46,3.13,,,0.06,,,,562,0.28,,,0.2,,0.08,0.14,17,,,,0.3,,30,,,2020,8.9,,17,35,7.9,,,,,,
D8,5/12/1989,9:30,,,,59,11,270,,,1.24,2.47,,,0.06,,,,2670,0.3,,,0.2,,0.07,0.12,14,,,,0.3,,44,,,8690,8.7,,18,17,7.9,,,,,,
D8,5/31/1989,12:55,,,,84.2,2,270,,,2.93,1.81,,,0.02,,,,,0.25,,,0.4,,,,14,,,,0.4,,36,,,6260,8.7,,20,27,7.9,,,,,,
D8,6/12/1989,11:30,,,,68,10,270,,,2.32,3.36,,,0.05,,,,1780,0.22,,,0.2,,0.08,0.11,11,,,,0.2,,40,,,6100,8.8,,19,28,7.9,,,,,,
D8,6/30/1989,14:30,,,,73.4,11,315,,,0.93,4.98,,,0.06,,,,,0.3,,,0.2,,,,12,,,,0.6,,24,,,11100,8.3,,20,33,,,,,,,
D8,7/13/1989,12:35,,,,86,8,248,,,2.62,2.12,,,0.03,,,,2700,0.15,,,ND,,0.06,0.15,13,,,,0.2,,36,,,8830,8.4,,22,19,8,,,,,,
D8,7/27/1989,12:35,,,,84.2,11,270,,,2.32,2.66,,,0.04,,,,,0.33,,,ND,,,,14,,,,0.2,,28,,,8060,8.1,,23,21,8,,,,,,
D8,8/11/1989,12:15,,,,71.6,25,248,,,1.85,2.08,,,0.04,,,,1840,0.1,,,ND,,0.1,0.16,15,,,,0.2,,38,,,6080,8.5,,20,25,8,,,,,,
D8,8/24/1989,11:00,,,,75.2,6,270,,,2.16,0.15,,,0.04,,,,,0.34,,,0.3,,,,14,,,,0.5,,36,,,8440,8.6,,21,16,7.9,,,,,,
D8,9/8/1989,11:55,,,,69.8,23,248,,,2.19,0.5,,,0.01,,,,4810,0.42,,,0.1,,0.07,0.22,13,,,,0.5,,36,,,14800,8.7,,20,16,7.6,,,,,,
D8,9/22/1989,10:50,,,,73.4,,,,,1.54,,,,0.02,,,,,0.34,,,0.1,,,,14,,,,0.3,,52,,,8860,6.9,,20,12,8.1,,,,,,
D8,10/6/1989,9:30,,,,62.6,7,90,,,1.39,0.81,,,0.03,,,,3790,0.39,,,0.2,,0.13,0.17,13,,,,0.6,,64,,,11800,8.2,,19,7,8,,,,,,
D8,10/20/1989,9:50,,,,64.4,14,248,,,2.32,2.43,,,0.02,,,,,0.44,,,0.3,,,,11,,,,0.4,,30,,,19400,7.9,,18,30,7.8,,,,,,
D8,11/9/1989,13:35,,,,64.4,4,45,,,1.24,0.96,,,0.07,,,,5630,0.38,,,0.2,,0.1,0.12,11,,,,0.3,,64,,,18200,8.7,,16,8,7.4,,,,,,
D8,12/7/1989,12:05,,,,46.4,9,68,,,1.7,0.62,,,0.07,,,,5680,0.24,,,0.2,,0.04,0.14,12,,,,0.3,,60,,,17700,9.3,,13,11,7.8,,,,,,
D8,1/19/1990,11:50,,,,39.2,17,90,,,0.46,0.58,,,0.16,,,,2120,0.35,,,0.2,,0.08,0.15,15,,,,0.6,,58,,,7140,10.4,,10,13,7.8,,,,,,
D8,2/22/1990,14:00,,,,57.2,11,68,,,0.77,1.78,,,0.16,,,,4650,0.41,,,0.2,,0.08,0.14,13,,,,0.5,,40,,,13900,10.2,,11,17,7.6,,,,,,
D8,3/22/1990,12:15,,,,64.4,14,293,,,0.62,0.54,,,0.15,,,,5760,0.53,,,0.2,,0.11,0.16,13,,,,0.5,,40,,,17800,9.2,,14,25,7.7,,,,,,
D8,4/5/1990,12:35,,,,60.8,19,270,,,2.62,0.96,,,0.12,,,,6660,0.42,,,0.3,,0.06,0.19,12,,,,0.5,,28,,,20400,8.9,,16,33,7.4,,,,,,
D8,4/19/1990,10:40,,,,59,7,270,,,1.7,0.62,,,0.11,,,,,0.5,,,0.4,,,,13,,,,0.6,,46,,,17100,8.5,,17,19,7.8,,,,,,
D8,5/4/1990,12:20,,,,75.2,4,270,,,0.91,0.62,,,ND,,,,4840,0.53,,,0.3,,ND,0.15,13,,,,0.5,,40,,,15400,8.1,,22,19,7.6,,,,,,
D8,5/31/1990,11:20,,,,71.6,9,225,,,2.32,1.27,,,0.05,,,,,0.43,,,0.2,,,,14,,,,0.3,,44,,,9310,8.7,,19,17,7.8,,,,,,
D8,6/19/1990,14:45,,,,80.6,9,270,,,1.39,1.85,,,0.05,,,,3420,0.48,,,0.3,,0.08,0.19,14,,,,0.4,,44,,,11900,8.1,,21,17,8,,,,,,
D8,6/29/1990,9:35,,,,73.4,17,180,,,1.7,1.43,,,0.07,,,,,0.57,,,0.2,,,,14,,,,0.4,,40,,,13700,8.3,,21,23,7.9,,,,,,
D8,7/17/1990,13:15,,,,80.6,23,270,,,2.01,2.28,,,0.02,,,,4620,0.6,,,0.2,,0.16,0.22,13,,,,0.4,,38,,,14100,8.1,,22,28,7.9,,,,,,
D8,7/31/1990,12:00,,,,86,8,225,,,1.68,1.91,,,0.01,,,,,0.57,,,0.2,,,,13,,,,0.3,,28,,,12800,8,,21,26,8,,,,,,
D8,8/24/1990,5:55,,,,57.2,29,225,,,1.59,2.22,,,ND,,,,4800,0.52,,,0.2,,0.15,0.24,13,,,,0.4,,24,,,14900,8.1,,20,36,8,,,,,,
D8,8/29/1990,13:10,,,,75.2,14,225,,,2.16,1.02,,,ND,,,,,0.45,,,0.2,,,0.2,12,,,,0.3,,40,,,14200,8.1,,22,16,7.9,,,,,,
D8,9/12/1990,11:40,,,,80.6,11,225,,,2.79,0.09,,,,,,,4460,0.41,,,,,,0.21,13,,,,0.3,,52,,,17300,8.2,,23,16,7.9,,,,,,
D8,9/28/1990,12:40,,,,84.2,11,225,,,1.1,0.5,,,ND,,,,,0.4,,,0.3,,,,12,,,,0.6,,70,,,18100,8.1,,21,9,7.9,,,,,,
D8,10/25/1990,10:25,,,,71.6,14,270,,,1.91,0.95,,,0.03,,,,6510,0.4,,,ND,,0.14,0.15,12,,,,0.2,,88,,,19900,8.2,,18,5,7.9,,,,,,
D8,11/9/1990,10:35,,,,57.2,4,68,,,0.86,1.57,,,0.06,,,,6440,0.38,,,0.2,,0.14,0.18,12,,,,0.4,,64,,,19400,8.6,,15,20,7.9,,,,,,
D8,12/12/1990,12:45,,,,53.6,6,248,,,1.02,1.13,,,0.16,,,,7720,0.42,,,0.1,,0.13,0.38,12,,,,1.2,,56,,,22300,8.9,,11,20,7.7,,,,,,
D8,1/10/1991,12:05,,,,46.4,,,,,0.49,0.99,,,0.21,,,,7720,0.35,,,0.3,,0.12,0.15,10,,,,0.6,,80,,,21900,10.4,,7,13,7.8,,,,,,
D8,2/22/1991,11:15,,,,64.4,17,225,,,1.95,0.89,,,0.21,,,,6980,0.42,,,0.3,,0.12,0.16,11,,,,0.6,,44,,,20200,9.2,,13,20,7.8,,,,,,
D8,3/8/1991,10:20,,,,51.8,6,,,,1.24,0.65,,,0.16,,,,2830,0.51,,,0.3,,0.12,0.15,14,,,,0.5,,56,,,9030,9.4,,13,10,7.9,,,,,,
D8,3/26/1991,13:10,,,,37.4,14,135,,,1.2,2.61,,,0.16,,,,,0.64,,,0.3,,,,14,,,,0.6,,32,,,4130,9.8,,11,32,7.7,,,,,,
D8,4/10/1991,12:30,,,,66.2,17,315,,,1.45,1.1,,,0.1,,,,1030,0.62,,,0.3,,0.11,0.18,16,,,,0.6,,22,,,3390,9,,15,40,7.9,,,,,,
D8,4/24/1991,13:05,,,,60.8,9,135,,,1.28,1.91,,,0.1,,,,,0.72,,,0.3,,,,12,,,,0.5,,38,,,13000,9.1,,15,29,7.9,,,,,,
D8,5/8/1991,12:25,,,,64.4,35,270,,,1.02,1.4,,,0.08,,,,4940,0.68,,,0.4,,0.13,0.19,13,,,,0.6,,34,,,15400,8.9,,17,27,7.9,,,,,,
D8,5/22/1991,11:30,,,,60.8,15,248,,,0.94,2.99,,,0.09,,,,,0.65,,,0.3,,,,11,,,,0.9,,24,,,17800,8.7,,17,42,7.8,,,,,,
D8,6/7/1991,13:55,,,,77,9,270,,,0.76,1.02,,,0.07,,,,4430,0.86,,,0.3,,0.2,0.22,11,,,,0.5,,44,,,13800,8.6,,20,17,8,,,,,,
D8,6/21/1991,12:45,,,,71.6,17,180,,,2.33,0.49,,,0.07,,,,,0.35,,,0.8,,,,12,,,,1.1,,40,,,13700,8.4,,20,22,8,,,,,,
D8,7/9/1991,14:40,,,,69.8,14,225,,,1.96,1.81,,,0.04,,,,4640,0.5,,,0.4,,0.13,0.49,13,,,,0.7,,28,,,14200,8.3,,21,28,8,,,,,,
D8,8/6/1991,13:10,,,,73.4,15,225,,,2.42,1.28,,,0.08,,,,4770,0.54,,,0.2,,0.08,0.16,13,,,,0.2,,44,,,14700,8.7,,21,21,7.7,,,,,,
D8,8/23/1991,14:50,,,,75.2,7,270,,,0.99,1.86,,,ND,,,,,0.53,,,0.3,,,,12,,,,0.4,,32,,,10400,7.6,,21,16,7.9,,,,,,
D8,9/5/1991,14:05,,,,80.6,17,225,,,1.78,1.77,,,0.04,,,,6540,0.5,,,0.4,,0.13,0.24,11,,,,0.7,,36,,,20100,8,,22,24,8,,,,,,
D8,9/19/1991,13:55,,,,73.4,17,248,,,0.83,1.13,,,0.02,,,,,0.51,,,0.4,,,,11,,,,0.4,,40,,,19500,8.3,,20,20,8.1,,,,,,
D8,10/3/1991,13:25,,,,80.6,,,,,1.33,1.01,,,ND,,,,4910,0.39,,,0.2,,0.15,0.2,12,,,,0.3,,60,,,15900,8.2,,21,11,7.9,,,,,,
D8,10/17/1991,11:45,,,,71.6,23,248,,,1.45,0.4,,,ND,,,,,0.47,,,0.2,,,,12,,,,0.2,,42,,,19300,8.1,,20,11,8,,,,,,
D8,11/20/1991,15:00,,,,51.8,,,,,0.79,0.58,,,0.07,,,,7140,0.47,,,0.3,,0.14,0.18,9.7,,,,0.4,,60,,,22700,9,,14,9,7.9,,,,,,
D8,12/13/1991,11:00,,,,37.4,14,,,,0.85,0.93,,,0.12,,,,6370,0.41,,,0.3,,0.13,0.17,11,,,,0.5,,60,,,20100,10.1,,10,12,7.9,,,,,,
D8,1/16/1992,14:10,,,,37.4,4,68,,,1.02,1.1,,,0.14,,,,5660,0.36,,,0.3,,0.1,0.16,12,,,,0.5,,64,,,16400,10.2,,9,11,7.9,,,,,,
D8,2/28/1992,13:20,,,,59,4,90,,,0.42,0.79,,,0.14,,,,576,0.64,,,0.5,,0.09,0.09,16,,,,0.6,,32,,,2140,8.6,,14,29,7.6,,,,,,
D8,3/13/1992,11:20,,,,64.4,11,270,,,0.8,0.56,,,0.13,,,,1110,0.6,,,0.4,,0.1,0.16,16,,,,0.6,,38,,,3830,9.1,,15,24,7.8,,,,,,
D8,3/27/1992,11:15,,,,78.8,12,270,,,0.73,0.54,,,0.1,,,,,0.54,,,0.3,,0.1,0.14,22,,,,0.5,,40,,,5290,8.4,,17,20,7.8,,,,,,
D8,4/10/1992,9:55,,,,68,14,225,,,0.71,0.7,,,0.1,,,,2820,0.54,,,0.3,,0.1,0.15,15,,,,0.6,,36,,,9540,8.8,,17,18,7.9,,,,,,
D8,4/24/1992,10:05,,,,66.2,4,,,,0.83,1.6,,,0.06,,,,,0.59,,,0.3,,,,16,,,,0.5,,36,,,6600,8.6,,18,18,8.1,,,,,,
D8,5/12/1992,13:40,,,,69.8,25,180,,,1.99,1.47,,,0.08,,,,5770,0.48,,,0.4,,0.13,0.2,12,,,,0.5,,30,,,17800,8.2,,20,27,7.9,,,,,,
D8,5/27/1992,13:55,,,,78.8,25,225,,,3.61,1.27,,,0.05,,,,,0.42,,,0.3,,,,11,,,,0.6,,36,,,17900,8.3,,21,14,8,,,,,,
D8,6/10/1992,12:55,,,,78.8,15,225,,,2.7,1.56,,,0.04,,,,5150,0.45,,,0.4,,0.14,0.2,10,,,,0.4,,40,,,16300,8.2,,21,29,8,,,,,,
D8,6/24/1992,12:30,,,,80.6,19,225,,,1.84,1.37,,,0.05,,,,,0.46,,,0.3,,,,10,,,,0.5,,44,,,15900,8.2,,21,14,8.1,,,,,,
D8,7/9/1992,13:20,,,,89.6,11,248,,,1.82,1.08,,,0.03,,,,5100,0.42,,,0.4,,0.15,0.16,9,,,,0.4,,60,,,15700,8.1,,23,13,7.9,,,,,,
D8,7/24/1992,11:50,,,,87.8,14,248,,,0.91,1.54,,,ND,,,,,0.5,,,0.2,,,,10,,,,0.3,,56,,,15100,8.2,,23,11,8,,,,,,
D8,8/7/1992,12:35,,,,84.2,17,225,,,1.56,0.73,,,ND,,,,5580,0.45,,,0.3,,0.16,0.2,8.8,,,,0.3,,42,,,17600,8.2,,22,17,7.9,,,,,,
D8,8/26/1992,16:05,,,,75.2,17,248,,,1.25,0.72,,,ND,,,,,0.49,,,0.2,,,,9.7,,,,0.3,,60,,,18700,8,,22,9,8.3,,,,,,
D8,9/8/1992,15:20,,,,71.6,9,270,,,1.54,1.29,,,ND,,,,5570,0.49,,,0.1,,0.15,0.18,9.4,,,,0.3,,60,,,17800,8.2,,22,9,8,,,,,,
D8,9/22/1992,13:30,,,,71.6,17,225,,,0.79,2.25,,,0.01,,,,,0.5,,,0.2,,,,9.2,,,,0.3,,50,,,19300,8.3,,20,16,7.9,,,,,,
