Station Name,Station Number,Sample Date,Sample Code,Sample Depth,Sample Description,Flag,FlagDescription,Sample Type,Parent Sample Code,Total Alkalinity mg/L as CaCO3 Std Method 2320 B 916 [1]*,Dissolved Ammonia mg/L as N EPA 350.1 (D) 925 [1]*,Dissolved Bromide mg/L EPA 300.0 356 [1]*,Dissolved Calcium mg/L EPA 200.7 (D) 130 [1]*,Dissolved Chloride mg/L EPA 300.0 356 [1]*,Chlorophyll a ug/L Std Method 10200 H 274 [1]*,Dissolved Nitrate + Nitrite mg/L as N Std Method 4500-NO3-F 923 [1]*,Dissolved Organic Carbon mg/L as C EPA 415.3 (D) 915 [1]*,Dissolved Organic Carbon mg/L as C Std Method 5310C (D) 920 [1]*,Total Organic Carbon mg/L as C EPA 415.3 (T) 914 [1]*,Total Organic Carbon mg/L as C Std Method 5310C (T) 919 [1]*,Dissolved Organic Nitrogen mg/L as N EPA 351.2/EPA 350.1 (D) 929 [1]*,Pheophytin a ug/L Std Method 10200 H 274 [1]*,Total Phosphorus mg/L as P EPA 365.4 928 [1]*,Dissolved Silica (SiO2) mg/L EPA 200.7 (D) 130 [1]*,Total Dissolved Solids mg/L Std Method 2540 C 203 [1]*,Total Suspended Solids mg/L EPA 160.2 64 [1]*,Total Suspended Solids mg/L Std Method 2540 D 918 [1]*,Volatile Suspended Solids mg/L EPA 160.4 72 [1]*,Volatile Suspended Solids mg/L Std Method 2540 E 317 [1]*,Total Kjeldahl Nitrogen mg/L as N EPA 351.2 927 [1]*,Dissolved ortho-Phosphate mg/L as P EPA 365.1 924 [1]*,"(Bottom) Chlorophyll Fluorescence RFU Fluorescence, Sonde - [1]*","(Bottom) Chlorophyll Fluorescence ug/L of Chl Fluorescence, Sonde - [1]*","Chlorophyll Fluorescence RFU Fluorescence, Sonde - [1]*","Chlorophyll Fluorescence ug/L of Chl Fluorescence, Sonde - [1]*",Chlorophyll Volume mL Chlorophyll Volume Filtered - [1]*,(Bottom) Specific Conductance uS/cm@25 °C EPA 120.1 (Field) - [1]*,Specific Conductance uS/cm@25 °C EPA 120.1 (Field) - [1]*,Field Notes Notes (Field) - [1]*,North Latitude Decimal Degrees GPS Location - [1]*,West Longitude Decimal Degrees GPS Location - [1]*,Microcystis aeruginosa Field Observations (Water) - [1]*,(Bottom) Dissolved Oxygen % Saturation ASTM Method D888-09-C (Field) - [1]*,(Bottom) Dissolved Oxygen mg/L ASTM Method D888-09-C (Field) - [1]*,Dissolved Oxygen % Saturation ASTM Method D888-09-C (Field) - [1]*,Dissolved Oxygen mg/L ASTM Method D888-09-C (Field) - [1]*,Secchi Depth Centimeters Secchi Depth - [1]*,(Bottom) Water Temperature °C EPA 170.1 (Field) - [1]*,"Air Temperature °F Temperature, Air - [1]*",Water Temperature °C EPA 170.1 (Field) - [1]*,(Bottom) Turbidity F.N.U. EPA 180.1 (Field) - [1]*,Turbidity F.N.U. EPA 180.1 (Field) - [1]*,Water Depth at Station Feet Depth of Water Column - [1]*,Weather Observations Weather Observations - [1]*,Wind Velocity Miles/hr Wind Velocity - [1]*,(Bottom) pH pH Units EPA 150.1 (Field) - [1]*,pH pH Units EPA 150.1 (Field) - [1]*
D22 - Sacramento River @ Emmaton,B9D80511443,10/17/2022 12:05,E1022B2320,3 Feet,,,,Normal Sample,0,62.4,<0.05,N/A,40.6,1310,3.31,0.161,N/A,2,N/A,1.8,0.15,<0.5,0.077,12.6,2480,N/A,10.1,N/A,<2.5,0.279,0.067,0.36,1.51,0.98,3.96,500,6091,4487,EZ6 located at D22,N/A,N/A,2,94.2,8.64,98.1,8.94,64,18.61,63,19.17,13.4,7.4,32.8,"Partly cloudy, no waves/flat, no rain",3.5,8.13,8.17
D22 - Sacramento River @ Emmaton,B9D80511443,11/16/2022 12:15,E1122B2548,3 Feet,,,,Normal Sample,0,"65.8,66.1**",0.061,N/A,40.7,1330,1.32,0.206,N/A,"2.2,2.3**",N/A,"2.2,2.3**",0.11,0.88,0.082,12.5,2560,N/A,22.3,N/A,3.5,0.184,0.065,0.39,1.57,0.42,1.69,500,5850,4890,EZ6 located at D22. Microcystis not visible on the surface but present in the zooplankton samples.,N/A,N/A,2,91.7,9.44,93,9.57,48,13.19,53.6,13.32,28.4,13.7,32.5,"Sunny, ripples to small waves with no white caps, no rain",9.9,7.68,7.71
D22 - Sacramento River @ Emmaton,B9D80511443,12/15/2022 11:10,E1222B2796,3 Feet,,,,Normal Sample,0,64.7,0.053,N/A,18.4,271,0.61,0.474,N/A,"3.2,3.3**",N/A,"3.2,3.5**",0.14,<0.5,0.087,16.2,646,N/A,13.7,N/A,<2.5,0.27,0.07,0.38,1.56,0.37,1.54,500,2074,1325,Same as EZ2,N/A,N/A,1,89.9,10.12,90.1,10.15,56,9.82,45.1,9.89,19,12.3,32.5,"Partly cloudy, ripples to small waves with no white caps, no rain",8.1,7.56,7.6
D26 - San Joaquin River @ Potato Point,B9D80461340,1/7/2022 8:15,E0122B0050,3 Feet,,,,Normal Sample,0,64.4,0.078,N/A,16.3,28.1,<0.5,0.995,5.6,N/A,5.5,N/A,0.65,1.46,0.1,18.5,"174,174**",11.8,N/A,2.7,N/A,0.696,0.081,0.5,1.96,0.48,1.88,N/A,291,292,N/A,N/A,N/A,1,83.7,9.72,85.6,9.94,60,8.8,45.5,8.8,13.5,14,42.3,"Overcast, no waves/flat, no rain",11.2,7.25,7.46
D26 - San Joaquin River @ Potato Point,B9D80461340,2/9/2022 10:15,E0222B0351,3 Feet,,,,Normal Sample,0,75.7,<0.05,N/A,16.4,25,1.02,0.494,3.9,N/A,3.8,N/A,0.3,1.47,0.062,18.1,158,7.3,N/A,<2.5,N/A,0.384,0.059,0.54,2.22,0.51,2.1,N/A,272,272,N/A,N/A,N/A,1,93.2,10.45,94,10.54,100,10.24,47.3,10.24,8.1,6.2,41.3,"Partly cloudy, no waves/flat, no rain",4.6,7.58,7.65
D26 - San Joaquin River @ Potato Point,B9D80461340,3/11/2022 10:25,E0322B0508,3 Feet,,,,Normal Sample,0,74.4,<0.05,N/A,17.2,23,3.96,0.365,"3.7,3.7**",N/A,"3.7,3.7**",N/A,0.25,1.19,0.048,14.5,146,4.2,N/A,<2.5,N/A,0.293,<0.05,1.13,4.62,0.67,2.77,N/A,265,267,N/A,N/A,N/A,1,97.5,10.32,99.8,10.66,124,12.74,53.4,12.39,4.3,6.7,40,"sunny; no waves, flat; no rain",1.6,7.8,7.93
D26 - San Joaquin River @ Potato Point,B9D80461340,4/22/2022 7:30,E0422B0715,3 Feet,Used lower grade DI water to rinse filtering equipment,1-TKN,,Normal Sample,0,71.1,<0.05,N/A,15,36.7,2.12,0.24,"2.8,2.8**",N/A,"2.8,2.8**",N/A,0.22,1.61,0.069,11.8,171,7.9,N/A,<2.5,N/A,0.263,0.056,0.7,2.79,0.7,2.81,N/A,308,311,N/A,N/A,N/A,1,93.8,9.14,94.4,9.2,116,16.58,48.9,16.59,8.5,7.4,38.7,"Partly cloudy, ripples to small waves/no white caps, no rain",5.6,7.87,7.91
D26 - San Joaquin River @ Potato Point,B9D80461340,5/23/2022 9:05,E0522B0951,3 Feet,,,,Normal Sample,0,66.5,<0.05,N/A,13.5,45,2.86,0.151,3.1,N/A,3.1,N/A,0.16,1.67,0.05,10.6,175,6.7,N/A,<2.5,N/A,0.223,0.052,0.62,2.55,0.31,2.53,500,322,325,N/A,N/A,N/A,1,97.1,8.86,99.6,9.08,84,19.79,70,19.8,7.3,6.8,38.1,"Sunny; Ripples to small waves, no white caps; no rain",6.9,8.06,8.23
D26 - San Joaquin River @ Potato Point,B9D80461340,6/22/2022 10:05,E0622B1224,3 Feet,,,,Normal Sample,0,62.7,<0.05,N/A,14.8,100,1.43,0.108,N/A,3.1,N/A,3.1,0.21,0.89,0.064,10.4,274,N/A,"5.8,6.2**",N/A,"<2.5,<2.5**",0.216,0.064,0.43,1.68,0.38,1.47,500,527,545,Microcystis not visible on the surface but present in the zooplankton samples.,N/A,N/A,2,95.3,8.21,92.7,7.96,104,22.65,78.8,22.82,5.8,5.1,21,"Partly cloudy, ripples to small waves/no white caps, no rain",8.2,8.09,8.34
D26 - San Joaquin River @ Potato Point,B9D80461340,7/20/2022 9:15,E0722B1446,3 Feet,,,,Normal Sample,0,54.9,<0.05,N/A,12,70.2,2.8,0.067,N/A,2.5,N/A,2.3,0.17,0.87,0.237,11.2,211,N/A,"8.8,8.8**",N/A,"<2.5,2.6**",0.184,0.052,0.39,1.64,0.38,1.58,500,399,403,N/A,N/A,N/A,3,93,7.75,95.1,7.92,120,24.49,70,24.49,6.3,5.4,40,"Sunny, ripples to small waves/no white caps, no rain",14.6,7.98,8.05
D26 - San Joaquin River @ Potato Point,B9D80461340,8/17/2022 7:50,E0822B1770,3 Feet,,,,Normal Sample,0,51.7,<0.05,N/A,11.3,79,2.24,0.068,N/A,2.1,N/A,2.1,0.12,1.44,0.055,11.4,218,N/A,9.4,N/A,<2.5,0.182,<0.05,0.44,1.73,0.47,1.85,500,419,420,N/A,N/A,N/A,2,92.6,7.79,93,7.82,100,24.04,70.2,23.98,6.4,6.1,38.4,"cloudy; ripples to small waves, no white caps; no rain",8.7,8.01,8.14
D26 - San Joaquin River @ Potato Point,B9D80461340,9/15/2022 8:15,E0922B2055,3 Feet,,,,Normal Sample,0,53.5,<0.05,N/A,12.9,104,1.82,0.081,N/A,2.5,N/A,2.3,<0.1,1.1,0.064,13.4,272,N/A,"8.8,9.5**",N/A,"<2.5,<2.5**",0.113,0.054,0.28,1.25,0.3,1.33,500,507,524,N/A,N/A,N/A,2,91.2,7.82,93.6,8.04,120,22.93,60.1,22.84,6.5,5.1,37.4,"Partly cloudy, ripples to small waves with no white caps, no rain",12.5,7.65,7.81
D26 - San Joaquin River @ Potato Point,B9D80461340,10/14/2022 8:55,E1022B2307,3 Feet,,,,Normal Sample,0,57.8,<0.05,N/A,14.4,161,7.95,0.064,N/A,2.3,N/A,2.4,0.16,2.02,0.055,10.4,366,N/A,10.6,N/A,<2.5,0.224,<0.05,0.8,3.26,1.05,4.25,500,728,721,N/A,N/A,N/A,3,96.9,8.68,98.9,8.89,84,20.61,57.4,20.47,7.5,5.7,41.3,"Sunny, ripples to small waves/no white caps, no rain",8.6,8.45,8.5
D26 - San Joaquin River @ Potato Point,B9D80461340,11/15/2022 12:10,E1122B2520,3 Feet,,,,Normal Sample,0,60.1,<0.05,N/A,"13.8,13.9**",74.6,1.59,0.208,N/A,2.6,N/A,2.5,0.13,0.66,0.062,"13.2,13.4**",229,N/A,6.3,N/A,<2.5,0.198,0.054,0.42,1.66,0.67,2.68,500,434,422,N/A,N/A,N/A,1,93.5,9.83,98.9,10.49,128,13.04,58.5,12.7,4.2,4.4,39,"Sunny, ripples to small waves/no white caps, no rain",10.9,7.72,8.08
D26 - San Joaquin River @ Potato Point,B9D80461340,12/14/2022 10:50,E1222B2768,3 Feet,,,,Normal Sample,0,62.6,0.05,N/A,"15.4,15.5**",76.2,0.91,0.395,N/A,3.3,N/A,3.2,0.17,0.95,0.067,"15.2,15.3**",237,N/A,7.2,N/A,<2.5,0.298,0.058,0.46,1.9,0.46,1.87,500,437,442,N/A,N/A,N/A,1,89.3,10.09,90,10.17,136,9.91,40.1,9.89,6.9,5.9,40,"Sunny, no waves/flat, no rain",2.3,7.64,7.75
D28A - Old River @ Rancho Del Rio,B9D75821344,1/6/2022 11:25,E0122B0016,3 Feet,,,,Normal Sample,0,71.9,0.084,N/A,19.8,68.2,<0.5,1.2,6.2,N/A,6.2,N/A,0.53,1.54,0.105,17.6,263,3.8,N/A,<2.5,N/A,0.787,0.094,0.55,2.18,0.53,2.07,N/A,483,484,N/A,N/A,N/A,1,82.4,9.49,84.3,9.7,124,9.1,46.4,9.11,6.5,6.5,19,"foggy; no rain; no waves, flat",0.3,7.31,7.38
D28A - Old River @ Rancho Del Rio,B9D75821344,2/8/2022 13:05,E0222B0317,3 Feet,,,,Normal Sample,0,74.4,<0.05,N/A,"18.3,18.3**",36,<0.5,0.683,5.4,N/A,5.4,N/A,0.35,2.82,0.223,"18.9,19.3**",187,"<2.5,<2.5**",N/A,"<2.5,<2.5**",N/A,0.421,0.054,1.04,4.21,0.77,3.13,N/A,329,329,N/A,N/A,N/A,1,88.9,9.93,94.6,10.45,116,10.39,60.6,10.84,5.5,4.9,19.4,"Sunny, no waves/flat, no rain",4.8,7.52,7.7
D28A - Old River @ Rancho Del Rio,B9D75821344,3/10/2022 13:00,E0322B0474,3 Feet,,,,Normal Sample,0,80.3,<0.05,N/A,19.1,37.5,2.32,0.387,4.8,N/A,4.8,N/A,0.39,1.21,0.051,13.7,190,"3.1,3.1**",N/A,"<2.5,<2.5**",N/A,0.439,<0.05,1.31,5.32,1.23,5.02,N/A,329,330,"Fluorescence slightly elevated. Nothing visible on the surface of the water or in the water quality sample, but some algae collected in the zooplankton net.",N/A,N/A,1,98.5,10.35,99.2,10.42,136,13.08,57.6,13.1,3.3,3.5,19.4,"Sunny, ripples to small waves with no white caps, no rain",26.4,7.88,7.93
D28A - Old River @ Rancho Del Rio,B9D75821344,4/21/2022 11:35,E0422B0681,3 Feet,,,,Normal Sample,0,75,<0.05,N/A,15.6,31,1.34,0.221,3.5,N/A,3.5,N/A,0.24,1.34,0.064,8.86,166,4.8,N/A,<2.5,N/A,0.307,0.056,0.58,2.31,0.6,2.41,N/A,299,298,N/A,N/A,N/A,1,92.2,8.88,93,8.95,144,17.14,53.4,17.13,3.7,3.9,18.4,"Cloudy; Ripples to small waves, no white caps; Heavy rain",6.9,7.81,7.88
D28A - Old River @ Rancho Del Rio,B9D75821344,5/20/2022 11:35,E0522B0941,3 Feet,,,,Normal Sample,0,71.1,"<0.05,<0.05**",N/A,14.8,37,1.55,"0.12,0.12**",3.7,N/A,3.7,N/A,0.18,1.52,0.058,8.94,167,5.2,N/A,<2.5,N/A,0.244,"0.058,0.061**",0.51,1.99,0.48,1.84,500,312,313,N/A,N/A,N/A,1,93.6,8.45,92.7,8.37,120,20.28,67.6,20.29,4.9,4.8,20.3,"Sunny, moderate waves/few white caps, no rain",28.2,8,7.84
D28A - Old River @ Rancho Del Rio,B9D75821344,6/21/2022 14:45,E0622B1202,3 Feet,,,,Normal Sample,0,68.6,<0.05,N/A,"14.6,15.7**",87.2,2.48,0.074,N/A,3.6,N/A,3.7,0.21,0.74,0.083,"8.55,9.02**",257,N/A,<2.5,N/A,<2.5,0.269,0.08,0.5,1.95,0.44,1.68,500,499,496,N/A,N/A,N/A,2,87.8,7.5,90.2,7.64,144,23.16,91.9,23.61,3.2,2.7,17.1,"Sunny, no waves/flat, no rain",5.6,7.81,7.92
D28A - Old River @ Rancho Del Rio,B9D75821344,7/19/2022 11:50,E0722B1413,3 Feet,,,,Normal Sample,0,61.5,<0.05,N/A,"14.3,15.1**",109,8.02,<0.05,N/A,3.2,N/A,3.1,0.14,1.19,0.083,"9.92,9.96**",289,N/A,6.6,N/A,<2.5,0.293,0.068,0.45,1.87,0.54,2.24,500,543,555,N/A,N/A,N/A,3,83.9,6.91,91.9,7.53,100,25.09,81.7,25.39,4.3,4.8,19.4,"Sunny, ripples to small waves/no white caps, no rain",10.4,7.75,7.94
D28A - Old River @ Rancho Del Rio,B9D75821344,8/16/2022 11:30,E0822B1737,3 Feet,,,,Normal Sample,0,54.1,<0.05,N/A,"12,12.1**",80,3.9,0.051,N/A,2.6,N/A,2.5,0.16,1.45,0.07,"10.9,11.2**",234,N/A,"5.1,5.6**",N/A,"<2.5,<2.5**",0.285,0.06,0.49,1.97,0.57,2.29,500,435,440,N/A,N/A,N/A,2,82.8,6.89,86.9,7.2,144,24.58,87.1,24.74,3.6,5.1,18.7,"Sunny, ripples to small waves with no white caps, no rain",10.5,7.8,8.02
D28A - Old River @ Rancho Del Rio,B9D75821344,9/14/2022 11:30,E0922B2034,3 Feet,,,,Normal Sample,0,54.2,"<0.05,<0.05**",N/A,13,94,1.2,"<0.05,<0.05**",N/A,2.6,N/A,2.5,<0.1,0.6,0.069,11.2,256,N/A,"3.1,3.3**",N/A,"<2.5,<2.5**",0.163,"0.066,0.067**",0.18,0.85,0.19,0.9,500,490,491,sampled about 1 hour off high slack tide due to delays caused by mechanical issues on the vessel,N/A,N/A,2,79.2,6.67,81,6.82,172,23.89,69.8,23.91,2.5,2.5,18.4,"Partly cloudy, no waves/flat, no rain",8.3,7.46,7.8
D28A - Old River @ Rancho Del Rio,B9D75821344,10/13/2022 13:35,E1022B2289,3 Feet,,,,Normal Sample,0,58,<0.05,N/A,14.3,134,2,<0.05,N/A,2.7,N/A,2.6,0.16,0.57,0.051,9.86,336,N/A,<2.5,N/A,<2.5,0.169,0.05,0.49,2.02,0.54,2.22,500,612,610,N/A,N/A,N/A,2,88.6,7.84,93,8.18,248,21.24,70.9,21.6,2.1,4,18.7,"Sunny, no waves/flat, no rain",11.5,7.76,8.14
D28A - Old River @ Rancho Del Rio,B9D75821344,11/14/2022 14:30,E1122B2487,3 Feet,,,,Normal Sample,0,63.2,"<0.05,<0.05**",N/A,16.4,144,1.96,"0.082,0.084**",N/A,3,N/A,2.9,0.16,<0.5,0.052,9.03,358,N/A,<2.5,N/A,<2.5,0.203,"<0.05,<0.05**",0.5,2,0.62,2.46,500,689,686,Green filamentous algae present in the water.,N/A,N/A,1,89.7,9.45,92.5,9.71,272,12.91,55.6,13.07,1.4,1.4,18.7,"Sunny, no waves/flat, no rain",6.3,7.59,7.91
D28A - Old River @ Rancho Del Rio,B9D75821344,12/13/2022 12:20,E1222B2735,3 Feet,,,,Normal Sample,0,64.1,0.06,N/A,18.5,183,0.95,0.243,N/A,3.6,N/A,3.4,0.19,0.61,0.049,10.9,446,N/A,3.4,N/A,<2.5,0.281,<0.05,0.44,1.81,0.47,1.92,500,861,834,N/A,N/A,N/A,1,87.2,9.82,88.3,9.91,188,9.96,47.5,10.09,2.7,2.7,18.4,"Sunny, ripples to small waves with no white caps, no rain",13,7.55,7.65
D4 - Sacramento River above Point Sacramento,B9D80381492,1/10/2022 10:25,E0122B0077,3 Feet,,,,Normal Sample,0,70.1,0.069,N/A,15,35,0.54,0.669,4.5,N/A,4.4,N/A,0.7,1.74,0.098,18.9,188,"23.2,23.2**",N/A,"<2.5,<2.5**",N/A,0.74,0.073,0.41,1.62,0.4,1.58,N/A,323,325,N/A,N/A,N/A,1,86.3,10.01,82,9.5,40,8.8,47.5,8.86,24.5,23.1,39.7,"Partly cloudy, no waves, flat, no rain",10.2,7.43,7.39
D4 - Sacramento River above Point Sacramento,B9D80381492,2/10/2022 11:30,E0222B0378,3 Feet,,,,Normal Sample,0,80,0.09,N/A,40.4,1310,0.63,0.52,2.5,N/A,2.4,N/A,0.15,1.53,0.072,18.2,2430,15.9,N/A,3.1,N/A,0.299,0.074,0.31,1.29,0.29,1.23,N/A,7950,4342,N/A,N/A,N/A,1,91.5,9.85,93.2,10.18,40,10.82,57.9,10.76,17.9,13.4,40.4,"sunny; ripples to small waves, no white caps; no rain",13,7.49,7.56
D4 - Sacramento River above Point Sacramento,B9D80381492,3/14/2022 12:50,E0322B0535,3 Feet,,,,Normal Sample,0,78.8,<0.05,N/A,33.3,"825,825**",5.83,0.31,2.5,N/A,2.5,N/A,0.27,0.52,0.064,15.3,"1660,1670**",15.6,N/A,2.6,N/A,0.324,0.055,1.6,6.48,1.3,5.27,N/A,5070,2787,"Arrived at D4 and collected water samples and sonde measurements. Then went farther downstream to
find EZ6, since it was nearby. Passed back through D4 during EZ6 zooplankton tow.",N/A,N/A,1,98.1,10.1,105.8,10.84,76,13.26,59.5,13.88,18.1,11.5,39.4,"Party cloudy; No waves, flat; No rain",3,7.87,8.06
D4 - Sacramento River above Point Sacramento,B9D80381492,4/25/2022 11:10,E0422B0742,3 Feet,Some sample water spilled out of the container analyzed for dissolved calcium and dissolved silica during sample submission.,,,Normal Sample,0,78.6,0.082,N/A,47.4,1540,1.78,0.276,2.8,N/A,2.8,N/A,0.23,1.28,0.093,12.2,3040,"24,24**",N/A,"3.6,4**",N/A,0.369,0.075,0.65,2.61,0.65,2.61,N/A,6233,5587,EZ6 located at D4.,N/A,N/A,1,92.7,8.81,95.2,8.98,40,16.83,63.5,17.28,39.6,14.9,38.4,"Sunny, ripples to small waves, no white caps, no rain",10.2,7.71,7.75
D4 - Sacramento River above Point Sacramento,B9D80381492,5/24/2022 10:55,E0522B0987,3 Feet,,,,Normal Sample,0,78.7,0.077,N/A,"60.2,60.6**",2180,2.27,0.306,2.6,N/A,2.4,N/A,0.15,<0.5,0.087,"12.5,12.6**",4320,12.5,N/A,<2.5,N/A,0.295,0.084,0.49,2.02,0.57,2.36,500,9488,7964,N/A,N/A,N/A,1,95,8.47,102.8,9.13,56,19.4,75.6,19.87,24.9,9.9,38.4,"Partly cloudy, ripples to small waves with no white caps, no rain",10.2,7.77,7.95
D4 - Sacramento River above Point Sacramento,B9D80381492,6/23/2022 11:45,E0622B1245,3 Feet,,,,Normal Sample,0,76.4,<0.05,N/A,75.8,3000,2.5,0.233,N/A,2.3,N/A,2.2,0.17,0.64,0.085,11.8,5320,N/A,10.6,N/A,<2.5,0.216,0.079,0.54,2.1,0.83,3.27,500,10458,9452,Microcystis not visible on the surface but present in the zooplankton samples,N/A,N/A,2,95,8.01,97.8,8.2,100,22.11,78.6,22.56,15.4,6.5,30.5,"Sunny, ripples to small waves with no white caps, no rain",15.3,7.82,7.85
D4 - Sacramento River above Point Sacramento,B9D80381492,7/21/2022 10:30,E0722B1473,3 Feet,,,,Normal Sample,0,67.7,0.05,N/A,55,2060,2.1,0.1,N/A,2.2,N/A,2.1,0.15,0.87,0.087,9.95,3960,N/A,21,N/A,4.3,0.218,0.072,0.57,2.34,0.5,2.09,500,7254,7174,EZ6 located at the end of the tow,N/A,N/A,2,93.3,7.98,94.6,8.08,52,21.93,64.6,22,23,11.6,37.7,"Sunny, moderate waves with few white caps, no rain",29.3,7.9,7.86
D4 - Sacramento River above Point Sacramento,B9D80381492,8/18/2022 9:00,E0822B1797,3 Feet,,,,Normal Sample,0,66.2,0.054,N/A,74.2,3000,1.89,0.163,N/A,1.7,N/A,1.8,0.12,1.25,0.108,10.2,"5560,5570**",N/A,36.9,N/A,7.1,0.227,0.08,0.5,2.01,0.46,1.84,500,9638,9702,Microcystis not visible on the surface but present in the zooplankton samples,N/A,N/A,2,93,7.85,93.9,7.93,40,22.16,65.3,22.15,19.5,19.2,38.1,"Sunny, moderate waves/few white caps, no rain",23.4,7.86,7.82
D4 - Sacramento River above Point Sacramento,B9D80381492,9/30/2022 7:25,E0922B2076,3 Feet,,,,Normal Sample,0,67.3,<0.05,N/A,86.3,3180,1.38,0.198,N/A,2,N/A,2.1,0.1,<0.5,0.09,10.4,5980,N/A,16.5,N/A,4.2,0.182,0.083,0.41,1.79,0.39,1.7,500,11817,11024,N/A,N/A,N/A,2,94,8.15,95.3,8.3,56,20.41,61,20.33,25.6,8.8,34.8,"Sunny, ripples to small waves, no white caps, no rain",10.2,7.75,7.76
D4 - Sacramento River above Point Sacramento,B9D80381492,10/17/2022 11:15,E1022B2319,3 Feet,,,,Normal Sample,0,68.7,<0.05,N/A,76.6,2970,2.04,0.216,N/A,1.9,N/A,1.7,0.13,<0.5,0.089,10.5,5920,N/A,13.4,N/A,3,<0.1,0.081,0.39,1.6,0.71,2.91,500,12543,9841,Microcystis not visible on the surface but present in the zooplankton samples,N/A,N/A,2,94.5,8.55,98.7,8.95,56,18.1,61.7,18.54,13,7.3,38.7,"Partly cloudy, no waves/flat, no rain",2.4,8.05,8.1
D4 - Sacramento River above Point Sacramento,B9D80381492,11/16/2022 11:15,E1122B2547,3 Feet,,,,Normal Sample,0,70,0.088,N/A,72.4,2800,1.17,0.232,N/A,2,N/A,1.9,<0.1,<0.5,0.083,11.2,5140,N/A,16,N/A,2.8,0.175,0.07,0.36,1.42,0.36,1.45,500,12531,9440,N/A,N/A,N/A,1,91.2,9.13,93.5,9.44,80,13.25,54.7,13.45,18.9,8.7,38.7,"Sunny, ripples to small waves with no white caps, no rain",6.9,7.51,7.54
D4 - Sacramento River above Point Sacramento,B9D80381492,12/15/2022 10:05,E1222B2795,3 Feet,,,,Normal Sample,0,67.9,0.091,N/A,40.5,1270,0.66,0.324,N/A,2.4,N/A,2.6,0.17,0.75,0.098,15.2,"2470,2480**",N/A,31.8,N/A,4.4,0.292,0.065,0.35,1.45,0.39,1.59,500,6738,4160,EZ6 located at the end of the zooplankton tow,N/A,N/A,1,91,10.04,91.8,10.23,44,9.99,42.6,9.94,20.4,19.6,32.5,"Partly cloudy, ripples to small waves with no white caps, no rain",11.2,7.47,7.55
D41 - San Pablo Bay near Pinole Point,E0B80182224,1/13/2022 10:45,E0122B0234,3 Feet,,,,Normal Sample,0,100,0.103,N/A,242,11900,2.18,0.412,0.8,N/A,0.9,N/A,0.13,3.4,0.099,7.83,"20800,20800**",13.3,N/A,4.5,N/A,0.272,0.074,0.44,1.72,0.67,2.65,N/A,41875,36893,N/A,N/A,N/A,1,90.7,8.36,92.2,8.73,84,11.41,46.6,11.21,8.1,4.3,45.3,"Partly cloudy, no waves, flat, no rain",4.1,7.82,7.81
D41 - San Pablo Bay near Pinole Point,E0B80182224,2/15/2022 12:05,E0222B0442,3 Feet,,1-TDS,,Normal Sample,0,109,0.0536,N/A,317,15200,2.56,0.306,0.5,N/A,0.5,N/A,<0.1,1.1,0.082,4.93,27000,19.1,N/A,7.4,N/A,0.172,0.068,0.48,1.99,0.64,2.61,N/A,42432,41978,N/A,N/A,N/A,1,91.9,8.2,97.8,8.73,120,12.82,50.5,12.89,12.6,5,44.3,"Sunny, moderate waves with few white caps, no rain",16.3,7.8,7.77
D41 - San Pablo Bay near Pinole Point,E0B80182224,3/17/2022 12:15,E0322B0649,3 Feet,,,,Normal Sample,0,109,0.068,N/A,321,14700,2.68,0.252,<0.5,N/A,0.5,N/A,0.14,0.64,0.087,4.83,26980,18.5,N/A,6.8,N/A,0.242,0.07,0.7,2.86,0.63,2.59,N/A,41631,41471,N/A,N/A,N/A,1,96.1,8.49,102.2,9.03,84,13.43,51.4,13.52,6.5,5.2,44,"Partly cloudy, moderate waves/few white caps, no rain",27.5,7.9,7.86
D41 - San Pablo Bay near Pinole Point,E0B80182224,4/28/2022 12:40,E0422B0899,3 Feet,,1-DissChloride,,Normal Sample,0,110,0.08,N/A,310,15200,3.77,0.25,0.8,N/A,0.8,N/A,0.14,<0.5,0.1,4.54,27400,14.5,N/A,5.8,N/A,0.294,0.08,0.83,3.33,0.74,2.94,N/A,42540,41866,Sonde readings and zooplankton tow done just south of the channel.,N/A,N/A,1,94.9,8.07,97.5,8.26,100,15.1,53.2,15.48,6.4,4.2,33.5,"Partly cloudy, moderate waves/few white caps, no rain",24.9,7.78,7.78
D41 - San Pablo Bay near Pinole Point,E0B80182224,5/26/2022 10:35,E0522B1078,3 Feet,,,,Normal Sample,0,112,0.061,N/A,342,16600,4.18,0.272,1.2,N/A,1.6,N/A,0.23,1.34,0.107,4.55,28900,22.5,N/A,4.2,N/A,0.353,0.086,1.02,4.16,0.84,3.45,500,44827,44782,N/A,N/A,N/A,1,95.1,7.78,96.6,7.89,48,16.57,52.2,16.65,15,8.5,42.3,"Partly cloudy, large waves/frequent white caps, no rain",32.6,7.79,7.79
